study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0910,116,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,25/11/2009,55.1,16,230,5850,MALE,8.08354,-26.18161,NA
PAL0809,53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,09/11/2008,35,17.9,190,3450,FEMALE,8.19539,-26.17213,NA
PAL0910,89,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,25/11/2009,47.5,14,212,4875,FEMALE,8.12691,-26.23613,NA
PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,10/11/2008,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA
PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,13/11/2007,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
PAL0708,25,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A1,Yes,29/11/2007,42.9,13.1,215,5000,FEMALE,7.68528,-25.39181,NA
PAL0708,18,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,12/11/2007,42.5,20.7,197,4500,MALE,8.67538,-25.13993,NA
PAL0708,20,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,30/11/2007,49.2,18.2,195,4400,MALE,9.27158,-24.64335,NA
PAL0809,30,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,14/11/2008,52.8,20,205,4550,MALE,9.25177,-24.69638,NA
PAL0708,33,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,03/12/2007,45.1,14.5,207,5050,FEMALE,7.97408,-25.53768,NA
PAL0708,18,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N71A2,No,30/11/2007,58,17.8,181,3700,FEMALE,9.14382,-24.57994,Nest never observed with full clutch.
PAL0910,120,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,22/11/2009,41.1,18.6,189,3325,MALE,9.32277,-26.09989,NA
PAL0809,56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,09/11/2008,41.4,18.6,191,3700,MALE,8.35396,-26.27853,NA
PAL0910,152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,17/11/2009,41.5,18.5,201,4000,MALE,8.8964,-26.06967,NA
PAL0708,26,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A2,Yes,29/11/2007,46.1,15.1,215,5100,MALE,7.83733,-25.42826,NA
PAL0809,72,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N54A2,Yes,03/11/2008,46.4,15.6,221,5000,MALE,8.35078,-26.70783,NA
PAL0910,134,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,10/11/2009,37.5,18.5,199,4475,MALE,8.56708,-26.49288,NA
PAL0708,25,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N89A1,No,28/11/2007,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,Nest never observed with full clutch.
PAL0708,31,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N50A1,Yes,29/11/2007,47.3,15.3,222,5250,MALE,NA,NA,Not enough blood for isotopes.
PAL0910,46,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A2,Yes,17/11/2009,50.8,18.5,201,4450,MALE,9.45827,-24.35575,NA
