study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,06/11/2008,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989,NA
PAL0708,42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,16/11/2007,40.8,18.4,195,3900,MALE,NA,NA,Not enough blood for isotopes.
PAL0809,32,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N63A2,Yes,24/11/2008,54.2,20.8,201,4300,MALE,9.49283,-24.59996,NA
PAL0910,121,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,22/11/2009,46.8,14.3,215,4850,FEMALE,8.41151,-26.13832,NA
PAL0708,2,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A2,Yes,27/11/2007,50,16.3,230,5700,MALE,8.14756,-25.39369,NA
PAL0910,86,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,22/11/2009,50.8,17.3,228,5600,MALE,8.27428,-26.30019,NA
PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,17/11/2008,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA
PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,17/11/2009,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0809,80,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,09/11/2008,45.2,16.4,223,5950,MALE,8.19749,-26.65931,NA
PAL0910,95,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,27/11/2009,44.5,14.7,214,4850,FEMALE,8.20106,-26.16524,NA
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,15/11/2009,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
PAL0910,91,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,25/11/2009,47.5,15,218,4950,FEMALE,8.29671,-26.08547,NA
PAL0809,31,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N63A1,Yes,24/11/2008,40.9,16.6,187,3200,FEMALE,9.08458,-24.54903,NA
PAL0708,31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,09/11/2007,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,NA
PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,16/11/2007,36.6,17.8,185,3700,FEMALE,NA,NA,Not enough blood for isotopes.
PAL0809,83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,07/11/2008,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837,NA
PAL0809,38,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,14/11/2008,52,20.7,210,4800,MALE,9.43146,-24.6844,NA
PAL0708,7,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,27/11/2007,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782,NA
PAL0809,56,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,04/11/2008,45,15.4,220,5050,MALE,8.63488,-26.75621,NA
PAL0910,52,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N90A2,Yes,21/11/2009,51.4,19,201,3950,MALE,9.43782,-24.36202,NA
