study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0910,123,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N43A1,Yes,22/11/2009,45.2,14.8,212,5200,FEMALE,8.24246,-26.11969,NA
PAL0809,54,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,04/11/2008,50.1,15,225,5000,MALE,8.50153,-26.61414,NA
PAL0708,17,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,12/11/2007,38.7,19,195,3450,FEMALE,9.18528,-25.06691,NA
PAL0809,29,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,14/11/2008,46.4,17.8,191,3700,FEMALE,9.37369,-24.52896,NA
PAL0809,38,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A2,Yes,02/11/2008,44.4,17.3,219,5250,MALE,8.13746,-26.79093,NA
PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,17/11/2009,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0708,23,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,27/11/2007,46.5,14.5,213,4400,FEMALE,7.90436,-25.3947,NA
PAL0910,142,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,14/11/2009,40.6,17.2,187,3475,MALE,9.23408,-26.01549,NA
PAL0708,7,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,27/11/2007,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782,NA
PAL0910,152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,17/11/2009,41.5,18.5,201,4000,MALE,8.8964,-26.06967,NA
PAL0809,37,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,14/11/2008,47.6,18.3,195,3850,FEMALE,8.83502,-24.65859,NA
PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,12/11/2009,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,09/11/2007,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
PAL0910,93,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,01/12/2009,45.5,14.5,212,4750,FEMALE,8.15566,-26.22848,NA
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,09/11/2008,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA
PAL0809,43,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N75A1,Yes,14/11/2008,50.9,19.1,196,3550,MALE,10.02372,-24.86594,NA
PAL0809,35,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A1,Yes,13/11/2008,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405,NA
PAL0910,111,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,20/11/2009,50.5,15.2,216,5000,FEMALE,8.24691,-26.18466,NA
PAL0809,55,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,04/11/2008,46.5,14.4,217,4900,FEMALE,8.48789,-26.83006,NA
