study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,68,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,09/11/2008,49.5,16.2,229,5800,MALE,8.49854,-26.74809,NA
PAL0708,8,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N66A2,Yes,28/11/2007,51.3,18.2,197,3750,MALE,8.63701,-24.84059,NA
PAL0809,90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,08/11/2008,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,NA
PAL0910,143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,16/11/2009,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA
PAL0708,20,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,30/11/2007,49.2,18.2,195,4400,MALE,9.27158,-24.64335,NA
PAL0910,51,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N90A1,Yes,21/11/2009,48.1,16.4,199,3325,FEMALE,9.46929,-24.48403,NA
PAL0910,112,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,20/11/2009,49.8,15.9,229,5950,MALE,8.29226,-26.21019,NA
PAL0910,152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,17/11/2009,41.5,18.5,201,4000,MALE,8.8964,-26.06967,NA
PAL0910,113,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,27/11/2009,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046,NA
PAL0708,6,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A2,Yes,18/11/2007,46.5,13.5,210,4550,FEMALE,7.9953,-25.32829,NA
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
PAL0910,98,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,18/11/2009,46.9,14.6,222,4875,FEMALE,7.8881,-26.04726,NA
PAL0708,34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,09/11/2007,40.9,18.9,184,3900,MALE,8.79665,-25.14591,NA
PAL0910,141,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,14/11/2009,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976,NA
PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,13/11/2007,41.1,19,182,3425,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,6,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N64A2,Yes,21/11/2007,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433,NA
PAL0910,148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,13/11/2009,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,NA
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,15/11/2009,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
PAL0809,54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,09/11/2008,42,19.5,200,4050,MALE,8.48095,-26.3146,NA
PAL0809,73,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,09/11/2008,48.2,15.6,221,5100,MALE,8.24651,-26.66958,NA
