study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,12/11/2009,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
PAL0708,22,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N73A2,Yes,03/12/2007,48.5,17.5,191,3400,MALE,9.42666,-24.26375,NA
PAL0809,63,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,13/11/2008,45.7,13.9,214,4400,FEMALE,8.6287,-26.60484,NA
PAL0910,109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,20/11/2009,38.1,17,181,3175,FEMALE,9.79532,-25.27385,NA
PAL0809,33,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N65A1,Yes,24/11/2008,42.5,16.7,187,3350,FEMALE,9.36668,-24.45195,NA
PAL0910,123,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,16/11/2009,40.2,17,176,3450,FEMALE,9.30722,-25.61039,NA
PAL0809,47,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,09/11/2008,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788,Nest never observed with full clutch.
PAL0708,17,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,27/11/2007,42,13.5,210,4150,FEMALE,7.63884,-25.52627,NA
PAL0910,133,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,10/11/2009,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,NA
PAL0910,122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,17/11/2009,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.
PAL0910,66,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N99A2,No,21/11/2009,49.6,18.2,193,3775,MALE,9.4618,-24.70615,Nest never observed with full clutch.
PAL0708,12,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,09/11/2007,37.8,17.3,180,3700,NA,NA,NA,No blood sample obtained.
PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,13/11/2007,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
PAL0708,10,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,27/11/2007,46.8,15.4,215,5150,MALE,8.1631,-25.38017,NA
PAL0809,35,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A1,Yes,13/11/2008,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405,NA
PAL0809,38,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,14/11/2008,52,20.7,210,4800,MALE,9.43146,-24.6844,NA
PAL0809,29,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,14/11/2008,46.4,17.8,191,3700,FEMALE,9.37369,-24.52896,NA
PAL0809,65,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,04/11/2008,45.8,14.2,219,4700,FEMALE,8.60447,-26.61601,NA
PAL0809,86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,17/11/2008,41.3,20.3,194,3550,MALE,9.14863,-26.09635,NA
PAL0809,84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,07/11/2008,35.1,19.4,193,4200,MALE,8.90002,-26.46254,NA
