study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,53,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,04/11/2008,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854,NA
PAL0708,2,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,19/11/2007,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.
PAL0809,61,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,03/11/2008,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053,NA
PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,08/11/2008,42.8,18.5,195,4250,MALE,8.2993,-26.38986,NA
PAL0910,53,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N92A1,Yes,23/11/2009,45.7,17.3,193,3600,FEMALE,9.415,-24.805,NA
PAL0708,10,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,09/11/2007,42,20.2,190,4250,NA,9.13362,-25.09368,No blood sample obtained for sexing.
PAL0708,7,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N66A1,Yes,28/11/2007,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644,NA
PAL0708,13,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A1,Yes,29/11/2007,45.5,13.7,214,4650,FEMALE,7.77672,-25.4168,NA
PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,15/11/2008,39,17.5,186,3550,FEMALE,8.57199,-26.07188,NA
PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,13/11/2007,41.1,19,182,3425,MALE,NA,NA,Not enough blood for isotopes.
PAL0809,59,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,06/11/2008,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485,NA
PAL0809,67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,06/11/2008,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541,NA
PAL0708,15,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N70A1,Yes,22/11/2007,45.9,17.1,190,3575,FEMALE,9.12277,-24.90024,NA
PAL0910,109,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,09/11/2009,43.3,14,208,4575,FEMALE,8.4207,-26.38092,NA
PAL0910,122,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,22/11/2009,50.4,15.7,222,5750,MALE,8.30166,-26.04117,NA
PAL0809,42,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N74A2,Yes,24/11/2008,46.2,17.5,187,3650,FEMALE,9.61734,-24.66188,NA
PAL0809,60,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,06/11/2008,50.4,15.3,224,5550,MALE,8.74647,-26.79846,NA
PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,16/11/2007,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319,NA
PAL0910,138,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,16/11/2009,40.2,20.1,200,3975,MALE,8.95998,-26.32601,NA
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,10/11/2007,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA
