study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,08/11/2008,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA
PAL0910,59,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,21/11/2009,50.2,18.8,202,3800,MALE,9.74492,-24.404,NA
PAL0809,62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,13/11/2008,41.3,21.1,195,4400,MALE,8.74802,-26.37809,NA
PAL0910,113,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,27/11/2009,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046,NA
PAL0809,46,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,03/11/2008,43.6,13.9,217,4900,FEMALE,8.27141,-26.7765,NA
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,10/11/2007,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA
PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,12/11/2009,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/2008,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,06/11/2008,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA
PAL0809,43,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N75A1,Yes,14/11/2008,50.9,19.1,196,3550,MALE,10.02372,-24.86594,NA
PAL0910,89,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,25/11/2009,47.5,14,212,4875,FEMALE,8.12691,-26.23613,NA
PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,09/11/2007,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
PAL0910,109,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,09/11/2009,43.3,14,208,4575,FEMALE,8.4207,-26.38092,NA
PAL0708,16,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N70A2,Yes,22/11/2007,50.5,19.6,201,4050,MALE,9.8059,-24.7294,NA
PAL0910,122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,17/11/2009,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.
PAL0910,57,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N94A1,Yes,21/11/2009,45.2,16.6,191,3250,FEMALE,9.62357,-24.78984,NA
PAL0708,35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,16/11/2007,36.4,17,195,3325,FEMALE,9.17847,-25.23061,NA
PAL0708,7,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,15/11/2007,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799,Nest never observed with full clutch.
PAL0809,57,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,03/11/2008,43.8,13.9,208,4300,FEMALE,8.58319,-26.84415,NA
PAL0708,17,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N71A1,No,30/11/2007,50.3,20,197,3300,MALE,10.02019,-24.54704,Nest never observed with full clutch.
