study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,10/11/2007,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA
PAL0809,71,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N54A1,Yes,03/11/2008,47.7,15,216,4750,FEMALE,8.53018,-26.72751,NA
PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,06/11/2008,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA
PAL0910,92,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,25/11/2009,52.2,17.1,228,5400,MALE,8.36701,-25.89834,NA
PAL0809,100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,10/11/2008,43.2,18.5,192,4100,MALE,8.97025,-26.03679,NA
PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,08/11/2008,42.8,18.5,195,4250,MALE,8.2993,-26.38986,NA
PAL0708,11,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,27/11/2007,40.9,13.7,214,4650,FEMALE,8.19579,-25.3933,Nest never observed with full clutch.
PAL0910,84,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,Yes,15/11/2009,50,15.9,224,5350,MALE,8.20042,-26.39677,NA
PAL0708,11,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,09/11/2007,37.8,17.1,186,3300,NA,8.63243,-25.21315,No blood sample obtained for sexing.
PAL0809,53,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,04/11/2008,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854,NA
PAL0809,63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,13/11/2008,37.6,17,185,3600,FEMALE,8.58063,-26.21569,NA
PAL0910,49,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N88A1,Yes,23/11/2009,51.5,18.7,187,3250,MALE,9.6895,-24.43062,NA
PAL0910,110,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,09/11/2009,48.1,15.1,209,5500,MALE,8.45738,-26.22664,NA
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,15/11/2009,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,15/11/2008,39,17.5,186,3550,FEMALE,8.57199,-26.07188,NA
PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,16/11/2007,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319,NA
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
PAL0910,46,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A2,Yes,17/11/2009,50.8,18.5,201,4450,MALE,9.45827,-24.35575,NA
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,16/11/2007,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0809,48,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,No,09/11/2008,50.5,15.9,225,5400,MALE,8.65803,-26.57585,Nest never observed with full clutch.
