study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,62,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,03/11/2008,46.2,14.9,221,5300,MALE,8.60092,-26.84374,NA
PAL0910,110,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,09/11/2009,48.1,15.1,209,5500,MALE,8.45738,-26.22664,NA
PAL0708,22,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N73A2,Yes,03/12/2007,48.5,17.5,191,3400,MALE,9.42666,-24.26375,NA
PAL0910,107,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,10/11/2009,41.7,14.7,210,4700,FEMALE,8.12311,-26.44815,NA
PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,15/11/2009,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,NA
PAL0809,72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,14/11/2008,39.7,18.4,190,3900,MALE,9.29808,-25.23453,NA
PAL0708,27,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,12/11/2007,40.6,18.6,183,3550,MALE,8.93997,-25.36288,NA
PAL0910,137,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,16/11/2009,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696,NA
PAL0708,15,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,03/12/2007,45.8,14.6,210,4200,FEMALE,7.79958,-25.62618,NA
PAL0910,147,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,13/11/2009,39.2,18.6,190,4250,MALE,9.11006,-25.79549,NA
PAL0809,36,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,25/11/2008,47.5,16.8,199,3900,FEMALE,9.07825,-25.1455,NA
PAL0910,47,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N87A1,Yes,27/11/2009,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,NA
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,15/11/2009,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
PAL0910,136,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,13/11/2009,41.1,17.5,190,3900,MALE,8.94365,-26.06943,NA
PAL0910,103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,15/11/2009,37.7,16,183,3075,FEMALE,9.2151,-26.2253,NA
PAL0910,116,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,25/11/2009,55.1,16,230,5850,MALE,8.08354,-26.18161,NA
PAL0809,74,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,09/11/2008,46.5,14.8,217,5200,FEMALE,8.58487,-26.5929,NA
PAL0910,46,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A2,Yes,17/11/2009,50.8,18.5,201,4450,MALE,9.45827,-24.35575,NA
PAL0910,101,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,22/11/2009,48.5,15,219,4850,FEMALE,8.10231,-26.18763,NA
PAL0809,79,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,09/11/2008,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359,NA
