study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,11,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,09/11/2007,37.8,17.1,186,3300,NA,8.63243,-25.21315,No blood sample obtained for sexing.
PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,15/11/2009,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,NA
PAL0708,6,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A2,Yes,18/11/2007,46.5,13.5,210,4550,FEMALE,7.9953,-25.32829,NA
PAL0809,65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,13/11/2008,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165,NA
PAL0708,14,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,15/11/2007,38.6,21.2,191,3800,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,2,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,19/11/2007,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.
PAL0708,4,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,16/11/2007,NA,NA,NA,NA,NA,NA,NA,Adult not sampled.
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,16/11/2007,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0910,59,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,21/11/2009,50.2,18.8,202,3800,MALE,9.74492,-24.404,NA
PAL0809,74,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,09/11/2008,46.5,14.8,217,5200,FEMALE,8.58487,-26.5929,NA
PAL0910,143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,16/11/2009,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA
PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,05/11/2008,34,17.1,185,3400,FEMALE,8.01485,-26.695430000000002,NA
PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/2008,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
PAL0910,133,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,10/11/2009,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,NA
PAL0910,99,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,18/11/2009,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971,NA
PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,15/11/2009,37.8,20,190,4250,MALE,9.51929,-25.69199,NA
PAL0708,10,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,27/11/2007,46.8,15.4,215,5150,MALE,8.1631,-25.38017,NA
PAL0809,38,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,14/11/2008,52,20.7,210,4800,MALE,9.43146,-24.6844,NA
PAL0809,61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,13/11/2008,35.7,16.9,185,3150,FEMALE,8.96472,-26.40943,NA
PAL0708,33,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,03/12/2007,45.1,14.5,207,5050,FEMALE,7.97408,-25.53768,NA
