study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,5,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,18/11/2007,47.6,14.5,215,5400,MALE,8.2345,-25.54456,NA
PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,12/11/2007,38.2,18.1,185,3950,MALE,8.43423,-25.22664,NA
PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,16/11/2007,36.6,17.8,185,3700,FEMALE,NA,NA,Not enough blood for isotopes.
PAL0809,55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,09/11/2008,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718,NA
PAL0910,147,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,13/11/2009,39.2,18.6,190,4250,MALE,9.11006,-25.79549,NA
PAL0708,12,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,No,27/11/2007,49,16.1,216,5550,MALE,8.10417,-25.50562,Nest never observed with full clutch.
PAL0809,32,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N63A2,Yes,24/11/2008,54.2,20.8,201,4300,MALE,9.49283,-24.59996,NA
PAL0809,80,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,09/11/2008,45.2,16.4,223,5950,MALE,8.19749,-26.65931,NA
PAL0708,19,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A1,Yes,27/11/2007,46.2,14.5,209,4800,FEMALE,7.84057,-25.37899,NA
PAL0809,77,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,06/11/2008,47.5,14.2,209,4600,FEMALE,8.39299,-26.78733,NA
PAL0910,115,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,17/11/2009,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958,NA
PAL0708,44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,19/11/2007,44.1,19.7,196,4400,MALE,9.2372,-24.52698,NA
PAL0910,89,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,25/11/2009,47.5,14,212,4875,FEMALE,8.12691,-26.23613,NA
PAL0708,20,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,Yes,27/11/2007,48.7,15.1,222,5350,MALE,7.96491,-25.39587,NA
PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,09/11/2007,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
PAL0910,122,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,22/11/2009,50.4,15.7,222,5750,MALE,8.30166,-26.04117,NA
PAL0708,25,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N89A1,No,28/11/2007,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,Nest never observed with full clutch.
PAL0708,15,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,16/11/2007,34.6,21.1,198,4400,MALE,8.55583,-25.22588,NA
PAL0708,12,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,09/11/2007,37.8,17.3,180,3700,NA,NA,NA,No blood sample obtained.
PAL0708,14,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,26/11/2007,52,18.1,201,4050,MALE,9.0233,-24.38933,NA
