study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,34,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,03/12/2007,59.6,17,230,6050,MALE,7.76843,-25.6821,NA
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
PAL0809,76,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,06/11/2008,48.6,16,230,5800,MALE,8.5964,-26.71199,NA
PAL0708,14,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A2,Yes,29/11/2007,48.4,14.6,213,5850,MALE,7.8208,-25.48025,NA
PAL0809,79,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,09/11/2008,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359,NA
PAL0910,138,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,16/11/2009,40.2,20.1,200,3975,MALE,8.95998,-26.32601,NA
PAL0708,13,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A1,Yes,29/11/2007,45.5,13.7,214,4650,FEMALE,7.77672,-25.4168,NA
PAL0708,19,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A1,Yes,27/11/2007,46.2,14.5,209,4800,FEMALE,7.84057,-25.37899,NA
PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,06/11/2008,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA
PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,05/11/2008,34,17.1,185,3400,FEMALE,8.01485,-26.695430000000002,NA
PAL0910,135,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,13/11/2009,38.1,17.6,187,3425,FEMALE,8.717,-25.77951,NA
PAL0708,37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,16/11/2007,38.8,20,190,3950,MALE,9.18985,-25.12255,NA
PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,09/11/2008,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA
PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,12/11/2009,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,15/11/2007,41.1,17.6,182,3200,FEMALE,NA,NA,Not enough blood for isotopes.
PAL0910,47,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N87A1,Yes,27/11/2009,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,NA
PAL0910,111,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,20/11/2009,50.5,15.2,216,5000,FEMALE,8.24691,-26.18466,NA
PAL0910,128,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,21/11/2009,41.5,18.3,195,4300,MALE,8.52566,-26.0245,NA
PAL0910,59,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,21/11/2009,50.2,18.8,202,3800,MALE,9.74492,-24.404,NA
PAL0910,148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,13/11/2009,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,NA
