study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,10/11/2008,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA
PAL0910,99,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,18/11/2009,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971,NA
PAL0708,3,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,16/11/2007,40.3,18,195,3250,FEMALE,8.36821,-25.33302,NA
PAL0708,13,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,26/11/2007,47,17.3,185,3700,FEMALE,8.72037,-24.80526,NA
PAL0708,4,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,27/11/2007,50,15.2,218,5700,MALE,8.2554,-25.40075,NA
PAL0910,82,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N1A2,Yes,18/11/2009,52.5,15.6,221,5450,MALE,8.28601,-26.27573,NA
PAL0910,45,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A1,Yes,17/11/2009,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566,NA
PAL0809,79,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,09/11/2008,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359,NA
PAL0910,50,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N88A2,Yes,23/11/2009,49.8,17.3,198,3675,FEMALE,9.32169,-24.41562,NA
PAL0708,8,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,27/11/2007,46.7,15.3,219,5200,MALE,8.22673,-25.4276,NA
PAL0708,10,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,27/11/2007,46.8,15.4,215,5150,MALE,8.1631,-25.38017,NA
PAL0708,18,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,27/11/2007,49.2,15.2,221,6300,MALE,8.27376,-25.00169,NA
PAL0708,23,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,No,28/11/2007,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,Nest never observed with full clutch.
PAL0910,64,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N98A2,Yes,19/11/2009,55.8,19.8,207,4000,MALE,9.7046500000000009,-24.53494,NA
PAL0910,47,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N87A1,Yes,27/11/2009,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,NA
PAL0809,59,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,06/11/2008,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485,NA
PAL0708,38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,16/11/2007,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,NA
PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,15/11/2009,37.8,20,190,4250,MALE,9.51929,-25.69199,NA
PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,15/11/2009,39.7,18.9,184,3550,MALE,8.85699,-25.80208,NA
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,18/11/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
