study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0708,29,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,10/11/2007,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.
PAL0809,35,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A1,Yes,25/11/2008,49.7,18.6,195,3600,MALE,9.75486,-24.31198,NA
PAL0910,116,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,25/11/2009,55.1,16,230,5850,MALE,8.08354,-26.18161,NA
PAL0910,118,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,Yes,01/12/2009,48.8,16.2,222,6000,MALE,8.33825,-25.88547,NA
PAL0809,82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,02/11/2008,42.9,17.6,196,4700,MALE,8.63259,-26.23027,NA
PAL0809,45,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,03/11/2008,50.5,15.9,222,5550,MALE,8.46894,-26.60436,NA
PAL0910,91,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,25/11/2009,47.5,15,218,4950,FEMALE,8.29671,-26.08547,NA
PAL0910,122,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,22/11/2009,50.4,15.7,222,5750,MALE,8.30166,-26.04117,NA
PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,09/11/2008,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA
PAL0708,3,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,26/11/2007,51.3,19.2,193,3650,MALE,9.29078,-24.7557,NA
PAL0708,7,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N66A1,Yes,28/11/2007,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644,NA
PAL0809,38,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,14/11/2008,52,20.7,210,4800,MALE,9.43146,-24.6844,NA
PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,17/11/2008,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA
PAL0910,148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,13/11/2009,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,NA
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,16/11/2007,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0708,11,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N68A1,Yes,28/11/2007,46.6,17.8,193,3800,FEMALE,8.95063,-24.59897,NA
PAL0910,63,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N98A1,Yes,19/11/2009,45.7,17,195,3650,FEMALE,9.2671500000000009,-24.31912,NA
PAL0708,29,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,29/11/2007,48.2,14.3,210,4600,FEMALE,7.6887,-25.50811,NA
PAL0809,52,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,04/11/2008,48.5,14.1,220,5300,MALE,8.39867,-26.79358,NA
PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,15/11/2007,41.1,17.6,182,3200,FEMALE,NA,NA,Not enough blood for isotopes.
