study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments
PAL0809,70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,11/11/2008,41.8,19.4,198,4450,MALE,8.86853,-26.06209,Nest never observed with full clutch.
PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,12/11/2007,38.2,18.1,185,3950,MALE,8.43423,-25.22664,NA
PAL0809,61,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,03/11/2008,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053,NA
PAL0809,36,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,25/11/2008,47.5,16.8,199,3900,FEMALE,9.07825,-25.1455,NA
PAL0708,2,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,19/11/2007,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.
PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,15/11/2009,39.7,18.9,184,3550,MALE,8.85699,-25.80208,NA
PAL0910,90,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,25/11/2009,52.1,17,230,5550,MALE,8.27595,-26.11657,NA
PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,08/11/2008,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA
PAL0910,82,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N1A2,Yes,18/11/2009,52.5,15.6,221,5450,MALE,8.28601,-26.27573,NA
PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,09/11/2007,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,16/11/2007,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0708,24,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,27/11/2007,46.3,15.8,215,5050,MALE,7.90971,-25.38157,NA
PAL0910,67,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N100A1,Yes,21/11/2009,50.8,19,210,4100,MALE,9.98044,-24.68741,NA
PAL0910,85,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,22/11/2009,44.9,13.8,212,4750,FEMALE,8.11238,-26.20372,NA
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,10/11/2007,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA
PAL0809,60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,15/11/2008,37.6,19.1,194,3750,MALE,9.108,-25.89677,NA
PAL0809,91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,14/11/2008,35.7,18,202,3550,FEMALE,8.46531,-26.05621,NA
PAL0910,45,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N86A1,Yes,17/11/2009,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566,NA
PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,17/11/2009,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0708,14,Chinstrap,Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,26/11/2007,52,18.1,201,4050,MALE,9.0233,-24.38933,NA
